32,35,37,38,39,22,23,25,27,29
32,33,35,36,39,40,21,23,25,31
32,35,36,37,23,24,25,26,30,31
32,33,35,37,21,22,23,24,29,30
33,34,36,37,39,40,21,22,26,29
33,34,35,37,40,24,25,26,29,30
32,33,36,38,39,23,26,27,28,30
33,36,38,21,23,25,27,29,30,31
32,33,38,39,22,23,25,28,29,31
34,36,37,38,21,24,25,27,29,30
32,33,34,35,37,38,40,24,25,27
32,33,35,38,22,24,25,26,27,29
34,35,39,40,21,22,23,27,29,31
32,33,34,35,39,40,21,22,24,31
33,34,35,36,40,21,22,24,26,30
33,35,36,21,23,25,27,28,29,31
34,36,39,40,21,22,26,27,28,31
32,33,35,36,37,21,24,28,29,30
33,34,37,39,40,22,23,24,28,31
34,35,37,39,40,21,22,23,29,30
